dimension,bucket,n,answer_rate,accepted_rate
comment_count,0,569759,0.632,0.323
comment_count,1: 1-2,386332,0.595,0.281
comment_count,2: 3-5,219426,0.598,0.296
comment_count,3: 6+,93271,0.614,0.317
has_code,false,252784,0.498,0.182
has_code,true,1016004,0.642,0.335
hour_utc,00,27371,0.634,0.317
hour_utc,01,26354,0.629,0.315
hour_utc,02,28062,0.621,0.303
hour_utc,03,28961,0.622,0.303
hour_utc,04,31219,0.619,0.294
hour_utc,05,36466,0.608,0.283
hour_utc,06,45543,0.608,0.284
hour_utc,07,55645,0.603,0.292
hour_utc,08,62175,0.602,0.297
hour_utc,09,69217,0.599,0.296
hour_utc,10,69950,0.601,0.299
hour_utc,11,68341,0.607,0.299
hour_utc,12,69648,0.606,0.301
hour_utc,13,74874,0.604,0.3
hour_utc,14,78004,0.604,0.305
hour_utc,15,76086,0.608,0.307
hour_utc,16,70318,0.614,0.31
hour_utc,17,64541,0.618,0.31
hour_utc,18,60436,0.621,0.314
hour_utc,19,56514,0.629,0.316
hour_utc,20,52225,0.63,0.32
hour_utc,21,46560,0.632,0.319
hour_utc,22,38667,0.637,0.323
hour_utc,23,31611,0.637,0.322
num_tags,1,151866,0.616,0.301
num_tags,2,318210,0.63,0.317
num_tags,3,350123,0.615,0.307
num_tags,4,248498,0.605,0.299
num_tags,5,200091,0.595,0.291
owner_reputation,0: unregistered,10196,0.751,0.437
owner_reputation,1: new (<=1),233040,0.41,0.03
owner_reputation,2: 1-50,441709,0.655,0.343
owner_reputation,3: 51-500,341630,0.661,0.38
owner_reputation,4: 501-5k,188569,0.656,0.384
owner_reputation,5: 5k+,53644,0.679,0.398
score,0: negative,105547,0.857,0.356
score,1: zero,854976,0.533,0.244
score,2: one,222720,0.731,0.436
score,3: 2-3,73906,0.802,0.502
score,4: 4+,11639,0.871,0.539
title_words,1: <6,133428,0.594,0.286
title_words,2: 6-9,513338,0.613,0.307
title_words,3: 10-13,393857,0.619,0.311
title_words,4: 14+,228165,0.616,0.299
